	Employer	JobID	KeywordCount	KeywordList	Location	Relocate	RemoteWork	Title	TitleDetails	TitleFeatures	dataScienceJob
84	De_Novo_Software	41018	1	['delphi']	Los Angeles, CA	yes	no	Delphi Software Developer		['development', 'software']	yes
85	Time_Warner	87586	6	['etl', 'informatica', 'business objects', 'business intelligence', 'reporting services', 'sysadmin']	New York, NY	no	no	Sr. Analyst	Data Analytics	['analyst', 'analytics', 'data', 'senior']	yes
86	Boston_Consulting_Group	88181	6	['sql', 'amazon web services', 'oracle', '.net', 'xml', 'sysadmin']	Boston, MA	no	no	Senior Analytics Platform Architect		['analytics', 'architect', 'senior']	yes
87	Proclivity_Media	87250	1	['sysadmin']	New York, NY	no	no	Network Ops Engineer	High/Performance Cloud Computing  NYC	['cloud', 'engineer', 'network']	yes
88	2C2P	87869	3	['c#', 'mssql', '.net']	Bangkok, Thailand	no	no	Senior Developer		['development', 'senior']	yes
89	AppSense	84675	5	['java', 'restful architecture', 'open source', 'json', 'unix']	Daresbury, UK	no	no	Software Engineer		['engineer', 'software']	yes
90	Bookingcom	85673	4	['python', 'hadoop', 'machine learning', 'bigdata']	Amsterdam, Netherlands	yes	no	Data Scientist	Machine Learning	['data_science', 'machine_learning']	yes
91	Airisdata	79018	5	['hadoop', 'java', 'spark', 'accumulo', 'r']	Princeton, NJ	yes	no	Big Data Architect		['architect', 'data']	yes
92	Amazon	88189	3	['c', 'c++', 'java']	Seattle, WA	yes	no	Senior Software Development Engineer		['development', 'engineer', 'senior', 'software']	yes
93	HOVER	84111	5	['webgl', '3d', 'three.js', 'javascript', 'glsl']	San Francisco, CA	no	no	Computer Graphics Engineer		['engineer']	yes
94	Marin_Software	79825	5	['java', 'hbase', 'rdbms', 'olap', 'hdfs']	San Francisco, CA	yes	no	Staff Software Engineer	Publisher Framework	['engineer', 'software']	yes
95	Context_Relevant	86330	4	['python', 'etl', 'c++', 'bigdata']	Seattle, WA	yes	no	Software Engineer	Solutions Engineering	['engineer', 'software']	yes
